date,RZ_ID,Year,Month,LoS,buffer,ep_total,ep_mean,q50_anomaly_total,q75_anomaly_total,q90_anomaly_total,q50_deficit_total,Day
2032-12-01,36,2032,12,0,25.0,-8.1022839428,-2.7007613142666664,1.6232140725999997,-1.587557371099999,-4.0042901010800005,0.0,1
2033-01-01,36,2033,1,0,25.0,-6.595501638000001,-2.1985005460000004,2.391128510999999,-1.0268244285000003,-3.388180370760002,0.0,1
2033-02-01,36,2033,2,0,25.0,-7.5126539408,-2.5042179802666666,-0.9551268151999999,-3.7057654976,-5.233721551400001,0.9551268151999999,1
2033-03-01,36,2033,3,0,25.0,-4.089090393199999,-1.3630301310666664,-0.09758894239999982,-2.6324321239999993,-4.7785548032000005,0.09758894239999982,1
2033-04-01,36,2033,4,0,25.0,1.5057822351999999,0.5019274117333333,1.2363428583999996,-1.053062213,-3.736568480384002,0.0,1
2033-05-01,36,2033,5,0,25.0,8.4413588808,2.8137862935999998,5.649345066,2.439187454399999,-0.06025359787200024,0.0,1
2033-06-01,36,2033,6,0,25.0,-3.2694562383999997,-1.0898187461333333,-7.14822049,-11.5985479504,-15.116721077200001,7.14822049,1
2033-07-01,36,2033,7,0,25.0,13.155429599552,4.385143199850667,6.042143677952001,1.5854254261519998,-0.9139816369119984,0.0,1
2033-08-01,36,2033,8,0,25.0,0.6185236976000001,0.20617456586666671,-3.5561847664,-6.971866047999999,-9.197461884400001,3.5561847664,1
2033-09-01,36,2033,9,0,25.0,-10.6773152896,-3.559105096533333,-9.2043508012,-12.067393551999999,-13.965126894880001,9.2043508012,1
2033-10-01,36,2033,10,0,25.0,-5.146454815199999,-1.7154849383999997,0.03772279800000078,-3.3746800457999995,-5.705937530376001,0.0,1
2033-11-01,36,2033,11,0,25.0,-12.799613402399999,-4.266537800799999,-3.954876635399998,-7.473621689999998,-9.38293237716,3.954876635399998,1
2033-12-01,36,2033,12,0,25.0,-16.8656778974,-5.621892632466667,-7.140179882000002,-10.3509513257,-12.767684055680002,7.140179882000002,1
2034-01-01,36,2034,1,0,25.0,-8.7432419148,-2.9144139716,0.24338823419999933,-3.1745647053,-5.535920647560001,0.0,1
2034-02-01,36,2034,2,0,25.0,-4.2939278476,-1.4313092825333333,2.263599278,-0.48703940439999993,-2.0149954582000014,0.0,1
2034-03-01,36,2034,3,0,25.0,-13.127029942,-4.375676647333333,-9.1355284912,-11.6703716728,-13.816494352000001,9.1355284912,1
